Title,Time,Artist,Date Added,Plays,Last Played,Skips,Last Skipped
The Long Run,3:43,Eagles,1/26/2019,595,2/19/2021,13,1/26/2021
Over The Hills And Far Away,4:50,Led Zeppelin,4/1/2019,464,12/26/2020,5,1/3/2021
In The Flesh?,3:21,Pink Floyd,1/10/2020,428,2/19/2021,6,11/29/2020
The Song Remains The Same,5:30,Led Zeppelin,4/1/2019,394,2/17/2021,16,12/19/2020
Take The Money And Run,2:50,Steve Miller Band,4/1/2019,374,2/18/2021,1,01/01/1000
Keep That Same Old Feeling,5:38,The Crusaders,6/9/2020,342,2/19/2021,1,2/6/2021
In The City,3:45,Eagles,1/26/2019,342,2/17/2021,4,5/20/2020
Travelling Riverside Blues,5:12,Led Zeppelin,2/22/2019,334,1/10/2021,11,11/28/2020
Fool In The Rain,6:11,Led Zeppelin,4/1/2019,319,12/23/2020,8,6/2/2020
Stir It Up (live The Old Grey Whistle Test 1973),3:53,The Wailers,8/4/2019,292,2/21/2021,7,2/18/2021
Young Lust,3:30,Pink Floyd,1/10/2020,291,1/8/2021,6,11/11/2020
The Joker,3:39,Steve Miller Band,4/1/2019,287,2/17/2021,19,10/16/2020
Burning Up,4:04,The Expendables,6/1/2020,279,2/21/2021,7,2/18/2021
Money,6:32,Pink Floyd,1/26/2019,272,2/21/2021,18,12/17/2020
Jet Airliner,4:27,Steve Miller Band,4/1/2019,270,2/21/2021,2,6/7/2020
Have a Cigar,5:08,Pink Floyd,1/10/2020,259,1/2/2021,9,1/1/2021
Closer to the Sun,2:26,Slightly Stoopid,5/20/2020,257,2/18/2021,2,7/2/2020
Real Situation (1991),3:08,Bob Marley & The Wailers,8/2/2020,257,2/21/2021,2,11/20/2020
Get Down On It,4:36,Kool & The Gang,6/4/2020,253,2/17/2021,1,12/17/2020
Swingtown,3:59,Steve Miller Band,4/1/2019,247,1/2/2021,5,6/21/2020
Trampled Under Foot,5:37,Led Zeppelin,4/1/2019,239,2/17/2021,9,11/29/2020
Time,7:07,Pink Floyd,1/26/2019,235,12/16/2020,19,12/20/2020
Pick Myself Up,3:56,Peter Tosh,8/4/2019,232,2/21/2021,6,12/16/2020
Rock'n Me,3:08,Steve Miller Band,4/1/2019,226,2/17/2021,2,6/7/2020
Everybody Loves The Sunshine,4:00,Roy Ayers,6/4/2020,219,2/18/2021,2,7/16/2020
Learning To Fly ,4:01,Tom Petty,3/14/2019,218,1/1/2021,17,11/11/2020
be thankful for what you got,7:05,William De Vaughn,6/4/2020,218,1/2/2021,6,12/22/2020
The Thin Ice,2:27,Pink Floyd,1/10/2020,213,12/16/2020,5,11/11/2020
Lay Down Sally,3:50,Eric Clapton,4/3/2019,212,1/3/2021,2,10/28/2020
Black Dog (Live Madison Square Garden 1973),5:29,Led Zeppelin,4/1/2019,209,1/3/2021,17,2/18/2021
Another Brick In The Wall (Part 1),3:12,Pink Floyd,1/10/2020,207,12/21/2020,5,12/26/2020
Jungle Love,3:10,Steve Miller Band,4/1/2019,207,12/23/2020,9,11/2/2020
Cool Down The Pace,5:18,Gregory Isaacs,9/13/2019,206,2/18/2021,3,11/21/2020
Shine On You Crazy Diamond (Part VIII),3:01,Pink Floyd,6/1/2020,206,1/2/2021,2,12/15/2020
Boogie Back (Ubiquity),4:39,Roy Ayers,6/9/2020,206,2/21/2021,1,01/01/1000
In The Flesh,4:16,Pink Floyd,1/10/2020,205,2/17/2021,4,12/11/2020
Shine,4:30,Stick Figure,5/20/2020,204,1/8/2021,3,6/19/2020
